Rank,Airport,"Security delays per 1,000 delayed flights",Average delay length (>14 minutes),,,,"Austin-Bergstrom has more security delays than most US airports, new study finds
Austin-Bergstrom had the 12th-most delays related to security.",,,,,
1,Daniel K. Inouye International Airport (HNL),7,34.3,,,,,,,,,
2,Orlando International Airport (MCO),6.3,45.1,,,,,,,,,
3,Fort Lauderdale-Hollywood International Airport (FLL),5.5,31.9,,,,,,,,,
4,Oakland International Airport (OAK),4.7,44.6,,,,,,,,,
5,Kahului Airport (OGG),4.7,32.2,,,,,,,,,
6,Charlotte Douglas International Airport (CLT),3.8,41.1,,,,,,,,,
7,Dallas Love Field (DAL),3.4,51.3,,,,,,,,,
8,Baltimore/Washington International Airport (BWI),3.3,47.9,,,,,,,,,
9,William P. Hobby Airport (HOU),3.1,49.5,,,,,,,,,
10,Seattle-Tacoma International Airport (SEA),3,57.8,,,,,,,,,
11,Austin-Bergstrom International Airport (AUS),3,48.9,,,,,,,,,
12,Louis Armstrong New Orleans International Airport (MSY),2.9,45.6,,,,,,,,,
13,Chicago Midway International Airport (MDW),2.8,45.7,,,,,,,,,
14,Portland International Airport (PDX),2.6,38.4,,,,,,,,,
15,Miami International Airport (MIA),2.5,55.4,,,,,,,,,
